order_id,order_time,distance_km,order_items,weather,traffic,rider_queue,prep_time_min,delivery_time_min
49,2025-03-05 10:19:00,5.69,2,Rain,0,2,22,51.8
50,2025-03-27 14:35:00,2.26,1,Clear,4,1,13,23.4
51,2025-03-06 02:07:00,9.71,2,Clear,4,4,11,47.0
52,2025-03-19 03:41:00,7.86,6,Clear,5,0,10,41.3
53,2025-02-03 20:12:00,9.43,8,Clear,3,3,28,69.5
54,2025-01-17 11:00:00,9.0,3,Clear,4,4,18,57.4
55,2025-01-29 08:36:00,6.18,9,Clear,2,2,22,50.6
56,2025-01-01 16:05:00,9.26,9,Clear,4,4,18,60.0
57,2025-01-31 17:43:00,1.34,2,Clear,3,0,9,17.0
58,2025-01-30 15:28:00,2.36,8,Clear,5,2,24,44.8
59,2025-02-01 18:05:00,0.93,5,Cloudy,2,1,28,34.2
60,2025-02-13 03:41:00,3.59,4,Clear,2,3,17,35.9
61,2025-01-26 17:23:00,4.19,5,Cloudy,4,3,5,31.6
62,2025-01-18 00:36:00,3.08,4,Storm,3,2,16,38.6
63,2025-01-29 17:42:00,8.37,8,Rain,4,1,23,66.8
64,2025-01-06 09:59:00,3.89,4,Rain,0,0,14,32.8
65,2025-03-12 06:13:00,3.17,6,Fog,5,3,28,57.9
66,2025-02-21 20:38:00,5.66,2,Clear,0,2,9,29.8
67,2025-03-10 14:16:00,1.84,5,Rain,2,3,24,46.1
68,2025-01-26 04:07:00,8.12,6,Rain,4,1,10,46.4
69,2025-01-11 21:28:00,1.21,5,Rain,0,0,16,25.5
70,2025-01-01 23:37:00,9.88,2,Fog,1,1,25,60.4
71,2025-02-11 01:24:00,7.84,7,Clear,0,4,7,41.6
72,2025-03-20 15:23:00,2.39,4,Rain,4,1,18,39.0
73,2025-03-26 23:37:00,0.55,8,Rain,4,1,25,45.6
74,2025-03-21 08:59:00,8.25,7,Clear,5,3,8,53.4
75,2025-02-26 02:14:00,7.22,7,Clear,0,1,21,46.9
76,2025-03-09 04:07:00,7.43,9,Rain,4,2,21,58.5
77,2025-01-03 17:30:00,7.83,1,Fog,4,3,18,55.7
78,2025-02-03 03:50:00,1.2,6,Clear,5,3,19,38.8
79,2025-03-07 08:16:00,3.91,6,Fog,5,4,11,43.9
80,2025-01-17 02:44:00,1.6,6,Clear,5,2,8,25.9
81,2025-01-26 04:55:00,8.7,6,Clear,5,1,21,61.8
82,2025-01-03 17:03:00,6.42,7,Clear,1,4,10,36.3
83,2025-01-23 20:14:00,3.64,6,Clear,2,2,15,30.1
84,2025-03-15 18:14:00,1.1,1,Clear,4,4,16,32.6
85,2025-01-23 08:18:00,3.45,3,Clear,3,0,19,36.3
86,2025-02-26 23:53:00,3.59,2,Storm,5,1,16,42.9
87,2025-02-07 11:36:00,7.43,6,Storm,2,4,15,50.6
88,2025-01-24 10:56:00,6.56,8,Clear,5,0,21,50.4
89,2025-02-27 12:48:00,8.93,3,Clear,2,1,12,40.2
90,2025-03-17 14:58:00,4.99,8,Clear,3,4,16,41.0
91,2025-02-01 15:20:00,1.64,8,Rain,0,4,13,30.6
92,2025-03-24 05:09:00,7.28,5,Clear,1,4,15,44.7
93,2025-01-18 09:43:00,7.73,8,Clear,4,4,7,46.9
94,2025-03-23 05:36:00,5.83,6,Cloudy,0,3,11,35.3
95,2025-03-03 02:19:00,7.82,5,Fog,3,4,25,71.3
96,2025-02-18 14:33:00,5.19,9,Clear,1,3,7,29.3
97,2025-03-02 13:14:00,5.47,7,Clear,1,3,25,48.5
98,2025-03-04 22:07:00,4.56,8,Clear,1,0,20,38.8
99,2025-02-02 15:58:00,0.74,1,Storm,3,1,14,27.4
100,2025-02-18 04:39:00,1.52,2,Rain,5,3,27,54.5
101,2025-03-02 13:42:00,0.8,8,Clear,5,2,11,26.5
102,2025-01-10 13:34:00,6.55,9,Storm,5,3,29,60.1
103,2025-03-26 13:13:00,3.49,4,Clear,0,2,28,46.0
104,2025-03-26 21:18:00,5.33,9,Clear,4,0,24,48.7
105,2025-01-27 15:20:00,9.12,4,Clear,1,2,19,54.7
106,2025-01-04 20:36:00,2.87,9,Clear,1,0,25,29.4
107,2025-03-24 21:09:00,4.4,7,Clear,0,0,25,36.2
108,2025-02-28 09:44:00,7.68,2,Clear,5,0,14,42.8
109,2025-03-20 21:19:00,2.67,9,Clear,1,2,16,27.0
110,2025-02-05 00:45:00,1.23,4,Clear,1,2,22,36.4
111,2025-02-16 23:58:00,3.25,8,Storm,3,0,27,46.2
112,2025-02-14 03:37:00,2.03,7,Clear,2,0,27,36.0
113,2025-01-20 11:40:00,9.33,7,Clear,0,1,13,44.6
114,2025-03-02 12:31:00,8.18,8,Rain,0,0,13,44.2
115,2025-02-19 10:42:00,6.52,1,Storm,5,4,8,38.1
116,2025-03-12 19:36:00,8.78,5,Fog,0,1,9,40.4
117,2025-01-15 04:41:00,8.13,2,Clear,5,1,11,40.7
118,2025-01-15 19:48:00,2.27,2,Clear,3,1,11,25.5
119,2025-01-06 04:36:00,8.98,1,Storm,3,4,15,58.6
120,2025-03-28 13:16:00,5.62,5,Rain,4,1,14,43.9
121,2025-03-01 19:50:00,8.17,2,Clear,5,1,15,42.8
122,2025-02-09 02:54:00,9.01,4,Cloudy,3,2,28,62.6
123,2025-01-05 21:52:00,3.52,3,Clear,5,2,28,53.4
124,2025-01-20 15:22:00,1.55,3,Cloudy,0,0,22,30.9
125,2025-01-20 08:35:00,2.67,2,Fog,4,0,16,37.2
126,2025-03-02 19:01:00,4.56,6,Rain,2,3,29,52.7
127,2025-01-28 16:38:00,8.27,2,Cloudy,1,4,20,58.1
128,2025-02-23 01:15:00,8.68,8,Storm,1,2,8,46.7
129,2025-02-20 17:31:00,0.57,8,Clear,4,0,21,28.4
130,2025-02-11 11:04:00,5.35,5,Clear,5,4,21,46.5
131,2025-02-28 13:15:00,4.47,7,Clear,5,1,25,50.8
132,2025-03-11 00:45:00,2.61,4,Clear,5,4,27,48.6
133,2025-02-13 06:30:00,1.64,1,Storm,2,2,9,27.0
134,2025-01-21 20:57:00,3.71,2,Clear,1,3,17,35.8
135,2025-02-14 01:54:00,9.46,4,Clear,4,2,7,50.0
136,2025-02-13 03:41:00,3.57,1,Rain,5,0,27,49.8
137,2025-02-28 06:48:00,5.43,8,Fog,3,0,21,46.7
138,2025-01-07 20:28:00,7.18,9,Clear,0,4,15,49.3
139,2025-01-31 17:27:00,3.95,4,Clear,2,2,5,21.9
140,2025-02-28 11:43:00,9.73,3,Clear,5,0,22,61.1
141,2025-02-04 20:53:00,9.64,2,Rain,1,1,21,57.8
142,2025-01-17 11:34:00,2.89,5,Clear,0,1,13,20.7
143,2025-02-19 10:19:00,5.22,3,Rain,4,3,24,56.7
144,2025-02-18 13:42:00,3.36,7,Clear,5,4,11,38.7
145,2025-02-12 00:50:00,3.21,6,Clear,1,0,9,24.2
146,2025-01-19 13:10:00,0.85,1,Cloudy,0,3,20,33.0
147,2025-03-24 05:05:00,6.29,8,Clear,3,1,11,35.5
148,2025-01-26 12:39:00,5.28,2,Clear,2,3,17,38.9
149,2025-03-11 07:53:00,0.99,5,Clear,4,3,17,31.0
150,2025-01-07 22:11:00,3.15,9,Clear,1,0,19,26.4
151,2025-01-27 03:35:00,9.13,8,Rain,3,0,27,63.2
152,2025-03-20 17:08:00,2.78,2,Clear,2,0,21,31.3
153,2025-01-30 11:18:00,1.88,9,Clear,2,4,21,39.8
154,2025-01-24 18:52:00,5.15,5,Clear,3,3,23,42.3
155,2025-02-21 02:03:00,9.86,6,Rain,1,3,14,53.9
156,2025-03-12 18:45:00,2.8,3,Storm,2,4,6,28.2
157,2025-03-11 09:52:00,6.89,3,Rain,4,1,18,55.2
158,2025-02-25 19:42:00,7.74,8,Rain,0,2,27,55.9
159,2025-02-04 10:44:00,2.76,2,Clear,4,1,7,24.0
160,2025-02-08 16:52:00,7.42,2,Clear,5,4,11,48.4
161,2025-02-28 07:11:00,3.99,5,Clear,2,3,29,53.1
162,2025-03-23 07:27:00,6.51,6,Clear,0,3,15,42.3
163,2025-03-08 05:07:00,6.52,2,Clear,3,0,21,45.4
164,2025-01-25 11:41:00,5.59,5,Rain,0,0,19,39.1
165,2025-03-06 05:07:00,1.36,7,Rain,0,3,23,32.5
166,2025-02-06 10:09:00,8.44,8,Cloudy,0,3,15,47.1
167,2025-02-21 22:52:00,3.55,7,Clear,2,0,19,34.2
168,2025-01-26 08:43:00,2.27,8,Rain,5,0,19,33.6
169,2025-01-20 12:45:00,0.89,9,Fog,5,1,10,23.5
170,2025-01-16 10:22:00,6.11,5,Rain,1,3,19,50.6
171,2025-01-29 11:07:00,6.94,5,Clear,5,3,13,48.3
172,2025-03-01 15:35:00,0.66,4,Clear,2,4,9,19.0
173,2025-03-10 21:01:00,5.36,9,Clear,1,1,23,40.9
174,2025-02-11 11:39:00,2.65,5,Clear,3,2,28,38.9
175,2025-01-13 09:56:00,6.63,2,Storm,3,2,9,46.5
176,2025-03-03 13:29:00,2.16,8,Clear,3,2,26,37.1
177,2025-01-05 07:21:00,7.06,7,Clear,3,0,17,44.3
178,2025-02-12 03:24:00,4.17,8,Storm,3,2,22,47.9
179,2025-02-05 14:18:00,9.4,3,Storm,4,4,24,75.1
180,2025-02-16 23:14:00,1.81,4,Clear,2,0,21,27.1
181,2025-02-19 23:58:00,3.74,5,Rain,1,0,19,36.9
182,2025-03-12 17:36:00,1.58,6,Clear,3,2,18,26.1
183,2025-01-10 06:21:00,9.28,1,Clear,4,0,20,48.0
184,2025-02-04 19:15:00,8.83,4,Clear,5,1,8,45.8
185,2025-03-07 23:52:00,2.95,5,Rain,4,1,21,37.5
186,2025-01-06 00:31:00,6.77,7,Cloudy,4,2,24,53.6
187,2025-03-03 18:31:00,8.26,5,Clear,2,4,18,56.8
188,2025-01-19 16:55:00,5.77,1,Rain,3,0,22,51.1
189,2025-03-14 15:42:00,5.53,7,Clear,4,3,10,36.6
190,2025-02-22 05:23:00,2.8,8,Rain,4,2,26,44.6
191,2025-03-09 18:11:00,1.38,7,Clear,3,0,12,22.2
192,2025-03-10 05:31:00,9.02,4,Clear,2,2,13,51.1
193,2025-03-19 10:18:00,9.05,8,Fog,4,2,28,68.2
194,2025-01-18 13:11:00,6.51,5,Rain,1,4,5,36.6
195,2025-03-29 16:20:00,3.72,9,Clear,0,3,17,32.6
196,2025-03-17 12:08:00,3.82,5,Clear,5,0,7,27.7
197,2025-03-14 01:06:00,7.4,1,Clear,0,2,10,39.9
198,2025-03-12 01:03:00,9.02,9,Clear,0,2,21,48.3
199,2025-03-12 23:04:00,8.93,5,Fog,2,0,12,42.3
200,2025-03-03 00:42:00,7.91,6,Cloudy,4,2,10,50.7
201,2025-01-06 11:08:00,6.6,4,Clear,0,2,20,43.3
202,2025-03-10 07:01:00,1.3,6,Clear,0,2,5,13.7
203,2025-02-24 23:17:00,2.04,8,Fog,5,1,14,32.5
204,2025-01-21 13:49:00,9.04,3,Clear,3,1,22,57.1
205,2025-03-19 20:33:00,6.26,5,Rain,4,3,26,64.7
206,2025-03-16 19:44:00,0.59,2,Clear,4,4,18,34.7
207,2025-03-29 12:33:00,1.46,2,Storm,5,0,28,50.1
208,2025-01-13 04:19:00,6.8,7,Rain,3,4,9,45.9
209,2025-01-11 22:12:00,0.55,6,Fog,4,4,21,40.9
210,2025-02-05 23:49:00,2.03,4,Storm,1,1,18,33.3
211,2025-01-12 00:48:00,5.71,5,Clear,5,3,22,54.0
212,2025-03-30 10:29:00,7.07,1,Storm,2,4,8,45.9
213,2025-03-08 00:11:00,6.69,7,Fog,3,4,24,57.7
214,2025-01-16 23:53:00,2.63,8,Clear,5,2,27,47.3
215,2025-03-01 13:09:00,7.27,9,Clear,0,0,6,26.7
216,2025-03-05 16:31:00,2.75,8,Clear,4,3,11,29.5
217,2025-03-03 16:22:00,3.59,5,Clear,1,0,11,23.4
218,2025-02-14 01:55:00,7.59,3,Clear,1,1,11,34.4
219,2025-01-22 17:14:00,6.67,9,Rain,2,4,17,49.6
220,2025-02-11 04:36:00,8.57,6,Clear,5,4,23,56.4
221,2025-03-18 12:20:00,6.75,5,Fog,1,0,26,58.0
222,2025-01-28 01:05:00,5.9,3,Clear,5,1,10,38.9
223,2025-02-25 18:19:00,1.39,6,Clear,4,2,24,37.8
224,2025-02-19 15:44:00,3.99,3,Clear,4,2,21,41.0
225,2025-01-18 21:37:00,3.02,6,Clear,1,4,29,38.9
226,2025-02-06 01:03:00,2.82,4,Clear,4,4,22,42.3
227,2025-03-07 08:33:00,9.74,2,Clear,5,3,29,73.9
228,2025-01-27 10:46:00,4.23,8,Clear,4,0,28,49.5
229,2025-02-16 10:42:00,8.97,4,Storm,0,4,5,46.8
230,2025-01-24 12:08:00,6.5,9,Storm,5,1,27,61.5
231,2025-01-25 06:31:00,8.05,7,Clear,3,0,17,49.6
232,2025-03-12 10:43:00,5.28,2,Storm,4,3,23,54.9
233,2025-01-20 03:04:00,5.98,4,Storm,4,2,20,56.2
234,2025-03-09 03:28:00,5.18,5,Clear,5,3,14,41.9
235,2025-01-04 23:33:00,2.35,3,Cloudy,2,0,17,24.4
236,2025-03-30 13:19:00,7.36,9,Fog,3,2,14,46.6
237,2025-02-28 12:52:00,3.17,5,Clear,3,1,18,30.8
238,2025-02-28 06:18:00,0.73,2,Clear,3,2,13,25.7
239,2025-01-27 16:32:00,6.63,3,Clear,1,2,25,48.2
240,2025-03-13 02:45:00,2.18,9,Clear,0,1,15,20.4
241,2025-02-03 07:15:00,9.43,7,Storm,0,4,7,50.4
242,2025-02-17 21:30:00,9.56,2,Clear,2,4,12,52.7
243,2025-03-15 04:42:00,9.19,9,Storm,3,2,16,60.0
244,2025-03-06 21:47:00,4.02,4,Storm,3,2,7,34.1
245,2025-03-10 08:09:00,0.65,9,Rain,4,3,11,27.7
246,2025-02-26 02:50:00,9.32,2,Rain,5,4,18,66.7
247,2025-02-14 08:19:00,4.57,4,Clear,1,1,11,28.6
248,2025-01-06 02:16:00,9.68,5,Clear,1,2,11,42.8
249,2025-02-21 01:54:00,9.65,2,Rain,2,2,18,55.6
250,2025-01-28 07:52:00,8.6,1,Clear,0,3,16,45.8
251,2025-02-21 13:48:00,3.3,7,Clear,3,3,5,31.5
252,2025-01-31 05:17:00,4.16,1,Fog,5,3,9,38.7
253,2025-01-07 09:50:00,8.59,8,Rain,2,0,15,52.5
254,2025-02-12 20:49:00,3.51,3,Clear,1,1,5,17.6
255,2025-02-20 10:13:00,2.11,6,Rain,1,0,27,42.5
256,2025-01-10 15:27:00,5.79,7,Storm,1,2,17,47.6
257,2025-01-06 15:15:00,9.39,1,Clear,3,3,28,69.5
258,2025-03-23 17:46:00,7.11,6,Clear,3,3,27,60.0
259,2025-03-29 01:37:00,5.92,7,Cloudy,3,3,21,53.4
260,2025-02-11 05:39:00,1.42,6,Clear,4,4,7,26.4
261,2025-01-15 13:05:00,6.34,4,Clear,0,1,14,40.2
262,2025-02-13 10:30:00,9.91,1,Clear,1,0,23,49.4
263,2025-02-21 05:03:00,1.83,9,Storm,1,1,11,26.0
264,2025-02-25 08:39:00,5.42,4,Clear,4,3,24,53.1
265,2025-01-22 04:15:00,8.84,7,Clear,1,2,7,36.2
266,2025-01-09 15:31:00,7.54,7,Clear,1,4,26,59.9
267,2025-02-12 12:32:00,7.12,2,Cloudy,3,1,16,39.4
268,2025-01-17 05:02:00,7.17,1,Clear,3,2,26,54.0
269,2025-01-20 09:34:00,3.92,8,Rain,0,3,14,30.8
270,2025-02-16 14:06:00,3.29,8,Cloudy,1,3,25,47.0
271,2025-02-21 23:16:00,8.19,7,Clear,2,3,16,48.9
272,2025-02-01 20:50:00,8.2,8,Cloudy,1,3,19,57.6
273,2025-03-15 06:53:00,8.74,3,Cloudy,1,4,10,48.1
274,2025-01-30 00:25:00,9.18,2,Fog,0,4,23,64.9
275,2025-03-15 03:00:00,5.36,7,Clear,2,1,9,28.3
276,2025-02-02 20:04:00,5.26,8,Rain,1,3,29,54.1
277,2025-02-04 20:38:00,8.08,1,Storm,5,4,24,70.3
278,2025-03-07 08:22:00,6.67,9,Cloudy,5,2,6,37.3
279,2025-01-18 05:45:00,7.17,4,Clear,2,4,25,53.5
280,2025-03-17 05:55:00,8.06,4,Storm,5,4,23,63.1
281,2025-01-18 19:41:00,8.96,3,Clear,3,1,23,53.5
282,2025-01-26 02:08:00,3.71,6,Clear,3,4,8,37.1
283,2025-02-16 00:26:00,4.07,1,Clear,2,2,24,49.8
284,2025-03-04 20:29:00,1.39,6,Storm,1,3,9,26.3
285,2025-03-16 02:13:00,5.99,2,Clear,2,0,11,32.4
286,2025-02-14 14:40:00,0.84,9,Rain,5,1,8,24.0
287,2025-02-01 14:37:00,4.92,2,Cloudy,2,2,15,34.0
288,2025-01-21 03:33:00,5.66,7,Clear,5,1,27,57.6
289,2025-01-20 04:26:00,3.22,1,Rain,3,3,29,59.8
290,2025-03-23 12:49:00,6.11,7,Clear,2,4,7,33.6
291,2025-02-01 09:24:00,0.79,5,Clear,4,4,9,25.1
292,2025-01-09 17:12:00,0.85,8,Rain,5,2,24,41.7
293,2025-01-04 23:37:00,8.31,4,Cloudy,4,3,19,54.7
294,2025-03-10 19:00:00,3.92,7,Rain,3,0,29,53.8
295,2025-01-26 01:28:00,1.71,6,Storm,1,0,25,32.7
296,2025-03-30 01:34:00,5.46,5,Clear,5,4,22,55.3
297,2025-01-20 22:50:00,7.81,4,Clear,1,3,20,53.1
298,2025-02-04 12:25:00,2.55,7,Rain,3,3,20,42.7
299,2025-03-31 22:18:00,6.42,5,Clear,1,2,14,41.4
300,2025-01-08 08:42:00,1.31,5,Clear,5,0,5,16.9
301,2025-03-04 02:48:00,0.99,1,Rain,0,2,27,42.6
302,2025-01-27 02:03:00,5.55,2,Clear,5,1,15,36.6
303,2025-02-12 09:38:00,5.64,5,Clear,5,3,21,50.4
304,2025-02-24 10:09:00,6.56,3,Rain,4,0,28,58.5
305,2025-01-16 11:17:00,7.4,2,Rain,0,2,19,42.2
306,2025-03-18 06:15:00,9.77,4,Cloudy,0,4,29,63.1
307,2025-01-15 08:30:00,5.4,4,Rain,0,1,11,31.8
308,2025-03-03 12:49:00,3.57,4,Clear,5,2,29,54.1
309,2025-01-04 07:30:00,8.05,4,Cloudy,3,4,10,44.5
310,2025-03-16 15:11:00,3.07,3,Storm,0,0,19,30.8
311,2025-02-15 08:14:00,4.67,7,Clear,2,0,19,38.5
312,2025-02-13 13:30:00,1.25,9,Clear,1,1,11,13.4
313,2025-03-04 04:21:00,0.74,5,Rain,3,4,7,20.5
314,2025-03-12 12:40:00,9.65,4,Rain,2,3,18,59.9
315,2025-02-20 18:24:00,8.44,2,Storm,5,0,13,46.5
316,2025-03-19 00:12:00,7.11,2,Storm,5,3,7,42.6
317,2025-02-13 07:54:00,4.39,5,Rain,2,3,10,38.9
318,2025-02-23 20:35:00,2.15,7,Cloudy,4,2,24,43.1
319,2025-01-07 02:29:00,1.99,9,Rain,4,2,13,36.3
320,2025-02-20 03:39:00,2.88,7,Clear,2,0,5,20.0
321,2025-01-20 06:02:00,5.72,5,Fog,4,3,13,50.9
322,2025-03-28 10:57:00,7.29,6,Clear,1,2,16,37.0
323,2025-03-18 11:56:00,6.77,3,Storm,1,4,8,44.2
324,2025-02-09 18:24:00,3.16,5,Cloudy,5,4,20,43.4
325,2025-02-08 14:06:00,9.57,8,Rain,4,4,9,54.5
326,2025-02-18 08:17:00,7.51,1,Rain,0,4,21,58.2
327,2025-01-28 09:02:00,5.77,1,Clear,2,3,21,42.1
328,2025-01-09 21:29:00,6.31,7,Clear,1,4,10,33.2
329,2025-02-25 22:47:00,4.49,5,Clear,4,3,19,46.4
330,2025-01-10 13:52:00,2.85,5,Rain,4,0,5,26.0
331,2025-02-28 21:35:00,3.88,1,Storm,1,0,17,35.6
332,2025-02-12 03:25:00,7.7,9,Rain,1,4,20,55.0
333,2025-02-11 06:35:00,0.64,1,Clear,0,4,6,18.2
334,2025-02-09 14:32:00,1.6,5,Clear,4,4,23,43.8
335,2025-01-17 18:00:00,0.94,9,Storm,4,0,27,41.1
336,2025-03-02 15:08:00,0.89,4,Clear,3,2,6,13.6
337,2025-02-19 00:02:00,8.63,8,Rain,5,0,25,62.1
338,2025-03-12 05:39:00,7.18,6,Storm,0,4,29,66.1
339,2025-01-19 15:24:00,5.0,3,Rain,1,2,16,45.5
340,2025-01-13 06:33:00,1.43,4,Clear,1,2,16,24.8
341,2025-03-19 03:59:00,5.17,2,Fog,2,1,12,36.8
342,2025-01-29 07:43:00,5.0,1,Clear,5,3,16,44.0
343,2025-03-31 09:07:00,2.15,8,Cloudy,1,4,28,44.8
344,2025-03-26 08:12:00,4.62,1,Clear,4,3,15,39.1
345,2025-03-20 01:05:00,4.29,1,Clear,1,1,6,13.7
346,2025-02-22 16:52:00,6.35,4,Fog,4,3,5,44.6
347,2025-03-17 06:25:00,6.53,6,Clear,4,4,29,68.0
348,2025-01-08 08:23:00,0.93,9,Storm,0,1,8,16.0
349,2025-03-31 20:26:00,4.06,1,Fog,1,3,13,34.5
350,2025-01-05 02:19:00,6.45,7,Fog,0,0,11,34.9
351,2025-01-06 16:49:00,5.28,5,Cloudy,5,2,26,52.8
352,2025-02-21 02:08:00,8.64,8,Clear,4,1,29,65.9
353,2025-03-17 22:36:00,6.76,7,Storm,5,0,14,46.9
354,2025-03-12 04:48:00,2.05,4,Clear,1,4,24,37.3
355,2025-03-19 05:20:00,1.17,4,Clear,5,2,18,29.1
356,2025-03-27 18:47:00,6.6,6,Fog,5,1,5,41.9
357,2025-01-18 20:36:00,0.75,6,Clear,1,2,9,18.5
358,2025-02-14 07:10:00,6.06,9,Rain,0,1,17,45.4
359,2025-03-22 10:34:00,9.43,5,Rain,0,1,10,42.4
360,2025-01-19 14:09:00,5.97,8,Rain,4,3,26,66.4
361,2025-02-01 21:22:00,4.19,5,Cloudy,4,2,21,38.3
362,2025-01-27 03:45:00,6.61,2,Clear,1,2,19,46.5
363,2025-01-06 02:38:00,4.85,6,Rain,1,0,11,26.3
364,2025-01-29 16:01:00,5.68,9,Fog,3,4,12,44.2
365,2025-03-08 02:38:00,9.44,3,Clear,3,0,25,62.5
366,2025-01-04 13:02:00,4.17,1,Clear,2,3,6,30.0
367,2025-02-03 11:44:00,9.63,1,Rain,4,1,22,62.3
368,2025-01-28 21:15:00,9.1,3,Clear,5,3,25,64.2
369,2025-02-28 07:12:00,2.36,5,Clear,2,3,27,43.4
370,2025-02-26 01:33:00,1.16,3,Fog,2,0,11,24.0
371,2025-01-16 03:37:00,1.46,9,Rain,0,1,24,39.1
372,2025-03-24 09:35:00,0.67,8,Cloudy,5,4,20,36.1
373,2025-01-08 15:40:00,1.4,3,Fog,0,3,23,33.4
374,2025-03-30 02:48:00,6.99,9,Rain,3,4,13,51.9
375,2025-02-14 03:20:00,1.18,6,Clear,2,1,16,23.2
376,2025-03-24 18:43:00,3.53,7,Clear,3,1,18,31.2
377,2025-01-03 02:14:00,8.53,4,Clear,5,0,11,45.0
378,2025-01-08 10:20:00,0.72,4,Cloudy,5,2,6,19.0
379,2025-03-22 12:11:00,8.24,2,Clear,4,0,21,52.6
380,2025-01-28 09:33:00,3.18,5,Clear,1,4,15,31.4
381,2025-03-16 09:00:00,1.62,8,Rain,0,0,22,33.3
382,2025-02-09 14:05:00,7.12,7,Clear,4,1,16,41.4
383,2025-02-17 23:57:00,6.47,7,Clear,4,3,7,35.9
384,2025-03-30 20:34:00,8.84,6,Rain,0,2,25,59.8
385,2025-03-29 20:47:00,7.48,3,Clear,0,1,18,47.7
386,2025-02-09 10:02:00,8.13,5,Clear,5,3,19,59.2
387,2025-03-14 23:21:00,3.18,1,Clear,5,4,23,51.3
388,2025-03-17 12:22:00,2.19,7,Storm,2,4,14,40.8
389,2025-02-28 13:09:00,7.63,9,Rain,3,4,13,64.2
390,2025-02-08 19:27:00,8.16,1,Clear,5,0,14,46.1
391,2025-03-26 02:16:00,9.91,2,Rain,4,4,24,77.0
392,2025-01-18 16:01:00,4.42,3,Clear,2,4,27,54.3
393,2025-03-20 08:57:00,4.03,3,Cloudy,2,0,8,26.1
394,2025-02-11 08:13:00,7.88,8,Clear,4,3,23,64.0
395,2025-01-24 15:11:00,3.74,7,Rain,5,1,14,38.5
